ego,self
alter,other
verto,turn
intro,inward
extro,outward
ambi-,both directions
dexter(latin),right hand
sinister(latin),left hand
gauche(french),left hand
driot(french),right hand
misein,to hate
anthropos,mankind
gyne,women
gamos,marriage
mono,one
poly,many
andros,man
internus,inside
logos,science
obstetrix,midwife
paidos,child
iateria,medical healing
agogos,leading
demos,people
derma,skin
hypos,under
ophtalmos(greek),eyes
oculus(latin),eyes
orthos,staright/correct
odontos,tooth
kardia,heart
neuron,nerves
-osis,abnormal
psyche,spirit/mind/soul
